2026-01-10 17:41:45 | INFO     | root | setup_logging:72 | Logging initialized. Log file: logs/run_20260110_174145.log
2026-01-10 17:41:45 | INFO     | __main__ | main:153 | Starting Evidence-Grounded Backstory Consistency System
2026-01-10 17:41:50 | INFO     | __main__ | main:165 | Loaded 1 rows from train.csv
2026-01-10 17:41:50 | INFO     | __main__ | main:166 | Processing 1 backstories
2026-01-10 17:41:50 | DEBUG    | asyncio | __init__:64 | Using selector: KqueueSelector
2026-01-10 17:41:50 | INFO     | pathway_engine.engine.dataflow | None:5322 | Preparing Pathway computation
2026-01-10 17:41:50 | DEBUG    | pathway_engine.engine.telemetry | None:399 | Telemetry disabled
2026-01-10 17:41:50 | INFO     | pathway_engine.connectors.monitoring | None:43 | FilesystemReader-0: 0 entries (1 minibatch(es)) have been sent to the engine
2026-01-10 17:41:50 | INFO     | pathway_engine.connectors.monitoring | None:43 | FilesystemReader-0: 18728 entries (2 minibatch(es)) have been sent to the engine
2026-01-10 17:41:50 | WARNING  | pathway_engine.connectors.monitoring | None:82 | FilesystemReader-0: Closing the data source
2026-01-10 17:41:51 | INFO     | sentence_transformers.SentenceTransformer | __init__:227 | Load pretrained SentenceTransformer: avsolatorio/GIST-small-Embedding-v0
2026-01-10 17:41:51 | DEBUG    | urllib3.connectionpool | _new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2026-01-10 17:41:51 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /avsolatorio/GIST-small-Embedding-v0/resolve/main/modules.json HTTP/1.1" 307 0
2026-01-10 17:41:51 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/avsolatorio/GIST-small-Embedding-v0/75e62fd210b9fde790430e0b2f040b0b00a021b1/modules.json HTTP/1.1" 200 0
2026-01-10 17:41:52 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /avsolatorio/GIST-small-Embedding-v0/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2026-01-10 17:41:52 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/avsolatorio/GIST-small-Embedding-v0/75e62fd210b9fde790430e0b2f040b0b00a021b1/config_sentence_transformers.json HTTP/1.1" 200 0
2026-01-10 17:41:52 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /avsolatorio/GIST-small-Embedding-v0/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2026-01-10 17:41:52 | DEBUG    | urllib3.connectionpool | _make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/avsolatorio/GIST-small-Embedding-v0/75e62fd210b9fde790430e0b2f040b0b00a021b1/config_sentence_transformers.json HTTP/1.1" 200 0
